id,title,original_language,release_date,vote_average,vote_count,popularity,overview,genre_ids,adult,backdrop_path,poster_path
857873,Romeo Santos: Utopia Live from MetLife Stadium,es,2021-06-25,7.7,55,5.464,"In this Concert he focuses on the star and most important defender of bachata, the Dominican singer and songwriter Romeo Santos, and his concert on September 21, 2019 at MetLife Stadium in East Rutherford, New Jersey, which broke attendance record . Romeo took advantage of this event to bring together, for the first time live, all the legendary bachateros with whom he collaborated on his acclaimed album Utopia (2019), to the delight of the public who sang his favorite hits.","10402,10749",False,/aJ2JgqaW2e7nFzbbuNONYske1j9.jpg,/sLkwsvEslKUqjWoftcakhBimZ2x.jpg
799363,Morning Show Mysteries: Murder Ever After,en,2021-05-23,7.2,12,5.462,"Following a shocking find in an old friend’s basement, TV host Billie Blessings works with new-to-town detective Tyrell Hunter to unearth a dark secret that threatens to unravel the lives of the most powerful people in her city.","9648,80,10770",False,/urzRaybo8bEVZPZ9AhfTL8PJuQS.jpg,/2neg66DNaIfPXMR9viHktjXZa8K.jpg
638784,The Dog Who Wouldn't Be Quiet,es,2021-08-19,6.6,51,5.46,"Sebastian, a man in his thirties, works a series of temporary jobs and he embraces love at every opportunity. He transforms, through a series of short encounters, as the world flirts with possible apocalypse.",18,False,/eVplgJ8VVisSeOEYUSkauK99eId.jpg,/eoOA7dwSTx02KgN6V0S1sUlDMeC.jpg
831982,Creating an Army of the Dead,en,2021-05-21,6.0,21,5.459,"Zack Snyder and his Army of the Dead team dive into the film's wild stunts, groundbreaking effects and the evolution of the zombie genre.",99,False,/4BPLpWQCopLPwINSNucQ99M78Qf.jpg,/4Gbg2z4Kf026NDwyThYpdRpIYqV.jpg
793002,Dreamcatcher,en,2021-03-05,5.7,103,5.456,"The film centers on two estranged sisters who, along with their friends, become entrenched in a 48 hour whirlwind of violence after a traumatic experience at an underground music festival.","27,9648,53",False,/pG3m1z6eSjcKHCVa8rQdtWCvul5.jpg,/3CF743g2BpC8r3mCVV9gSX2yQBj.jpg
941389,Las sirvientas calientes 7,es,2021-01-01,2.0,2,5.453,"Verónica, a prostitute who works under the orders of El Cangrejo, tired of her life as a sex worker, runs away with a client who promises to change her life forever.",35,False,/mGn5kuBRxFmzpLwRwdncu4ZqMAz.jpg,/mEF2kjdkOjKUVnHqOSdZDabGVLR.jpg
801271,Hide and Seek,en,2021-11-19,4.6,39,5.452,"Noah is seeking to reconnect with his outcast brother after the death of their father. He hopes to make amends and share the family's fortune, but instead finds himself in a dark underworld that threatens to tear his family apart. As he struggles to maintain his sanity, Noah is led on a terrifying trail to the truth through a series of cryptic clues.","27,53,9648",False,/5a4yiRsoiSE4efY5FQKKgd9hZWw.jpg,/8vGAAlgJL4BXQVYmwfyMt5nBfjC.jpg
788669,The Man with the Answers,el,2021-09-02,6.8,49,5.447,"Ex-championship diver Victoras whiles away his days on the Greek coast, toiling away at a factory with only his dreams, medals and grandmother for company. When a phone call summons him to Germany, a simple road trip is the answer - that is until he crosses paths with the handsome Mathias - a free-spirited hitchhiker who tempts Victoras to take the road not taken.","18,10749",False,/a1HdS5JGiIVzzey63wCPo82ptxe.jpg,/sSua7wkJuHuJ6LMCV6RCiRf6Ely.jpg
795518,Broadcast Signal Intrusion,en,2021-10-22,5.5,76,5.444,"In the late 90s, a video archivist unearths a series of sinister pirate broadcasts and becomes obsessed with uncovering the dark conspiracy behind them.","27,9648,53",False,/xVHu86MkmtfsgKzLOaG7nCbeZpP.jpg,/hMv5Fgm718QB8anCBpJZIKj17hX.jpg
806690,Edge of the World,en,2021-08-27,5.5,69,5.438,"Sarawak, in the northeast of the island of Borneo, 1839. Almost by chance, the British adventurer James Brooke is appointed rajah by the Sultan of Brunei, and as an independent ruler he embarks on a personal crusade to eradicate piracy, slavery and headhunting, while trying to curb the malevolent expansionist ambitions of the British Empire.","18,12,36",False,/zJ1EntFyd2vbfQxSlfLRS3ls5at.jpg,/ySgG2FILLUnsYvbG07jgnEvqPNv.jpg
825252,Haters,fr,2021-12-03,3.7,67,5.422,"Internet humor star Thomas the Lama gets out of hand in a video. He becomes the target of all haters and his life falls apart. To win back his girlfriend and his audience, he decides to go meet his 10 biggest detractors to see if they can say, face to face, what they write on his page - Each meeting promises to be epic.",35,False,/sBoDAR1v3Xc7mU7NEPLgA1hnWt9.jpg,/hw6E3XV4Q0eYuLWiVLXR8FxPmJ6.jpg
