id,title,original_language,release_date,vote_average,vote_count,popularity,overview,genre_ids,adult,backdrop_path,poster_path
580489,Venom: Let There Be Carnage,en,2021-09-30,6.798,10201,496.763,"After finding a host body in investigative reporter Eddie Brock, the alien symbiote must face a new enemy, Carnage, the alter ego of serial killer Cletus Kasady.","878,28,12",False,/vIgyYkXkg6NC2whRbYjBD7eb3Er.jpg,/1MJNcPZy46hIy2CmSqOeru0yr5C.jpg
592695,Pleasure,sv,2021-10-08,6.231,545,463.254,"19 year old Linnéa leaves her small town in Sweden and heads for Los Angeles with the aim of becoming the world's next big porn star, but the road to her goal turns out to be bumpier than she imagined.",18,False,/5tqkP8NNWdteskVBYPRXE6h82ts.jpg,/7Z2K08J0WantJHNa0vLTOmii41l.jpg
637649,Wrath of Man,en,2021-04-22,7.631,5255,282.499,"A cold and mysterious new security guard for a Los Angeles cash truck company surprises his co-workers when he unleashes precision skills during a heist. The crew is left wondering who he is and where he came from. Soon, the marksman's ultimate motive becomes clear as he takes dramatic and irrevocable steps to settle a score.","80,28,53",False,/70AV2Xx5FQYj20labp0EGdbjI6E.jpg,/M7SUK85sKjaStg4TKhlAVyGlz3.jpg
820530,Dakaichi: I'm Being Harassed by the Sexiest Man of the Year—The Movie: In Spain,ja,2021-10-09,7.6,14,223.411,"Takato Saijo has reigned as the idol industry's ""Most Huggable"" for five years, that is, until freshman actor Azumaya. Takato was always considered brusque while Azumaya's smile is winning over admirers by comparison. The whole fiasco drives Takuto to over indulge in alcohol and his actions catch the attention of the last person he wants to see. To his surprise, Azumaya uses this new info to blackmail Takuto for physical affection.","16,18,35,10749",False,/cya84OrwjilxzuM2CWOEYYiIylM.jpg,/bow6kX2YPoeyb9ZNwqbFxp5eqKr.jpg
423108,The Conjuring: The Devil Made Me Do It,en,2021-05-25,7.429,5891,203.85,"Paranormal investigators Ed and Lorraine Warren encounter what would become one of the most sensational cases from their files. The fight for the soul of a young boy takes them beyond anything they'd ever seen before, to mark the first time in U.S. history that a murder suspect would claim demonic possession as a defense.","27,9648,53",False,/qi6Edc1OPcyENecGtz8TF0DUr9e.jpg,/xbSuFiJbbBWCkyCCKIMfuDCA4yV.jpg
634649,Spider-Man: No Way Home,en,2021-12-15,7.956,20110,195.569,"Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man.","28,12,878",False,/zD5v1E4joAzFvmAEytt7fM3ivyT.jpg,/1g0dhYtq4irTY1GPXvft6k4YLjm.jpg
438631,Dune,en,2021-09-15,7.784,12668,188.659,"Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity's greatest potential-only those who can conquer their fear will survive.","878,12",False,/jYEW5xZkZk2WTrdbMGAPFuBqbDc.jpg,/d5NXSklXo0qyIYkgV94XAgMIckC.jpg
337404,Cruella,en,2021-05-26,8.01,9291,153.689,"In 1970s London amidst the punk rock revolution, a young grifter named Estella is determined to make a name for herself with her designs. She befriends a pair of young thieves who appreciate her appetite for mischief, and together they are able to build a life for themselves on the London streets. One day, Estella’s flair for fashion catches the eye of the Baroness von Hellman, a fashion legend who is devastatingly chic and terrifyingly haute. But their relationship sets in motion a course of events and revelations that will cause Estella to embrace her wicked side and become the raucous, fashionable and revenge-bent Cruella.","35,80,10751,12",False,/6MKr3KgOLmzOP6MSuZERO41Lpkt.jpg,/wToO8opxkGwKgSfJ1JK8tGvkG6U.jpg
520763,A Quiet Place Part II,en,2021-05-21,7.489,6500,142.654,"Following the events at home, the Abbott family now face the terrors of the outside world. Forced to venture into the unknown, they realize that the creatures that hunt by sound are not the only threats that lurk beyond the sand path.","878,53,27",False,/AsqUSUqXrK8JfH8WEQnCXVbIAv6.jpg,/4q2hz2m8hubgvijz8Ez0T2Os2Yv.jpg
508943,Luca,en,2021-06-17,7.819,8299,140.818,Luca and his best friend Alberto experience an unforgettable summer on the Italian Riviera. But all the fun is threatened by a deeply-held secret: they are sea monsters from another world just below the water’s surface.,"16,35,14,12,10751",False,/620hnMVLu6RSZW6a5rwO8gqpt0t.jpg,/9x4i9uKGXt8IiiIF5Ey0DIoY738.jpg
524434,Eternals,en,2021-11-03,6.9,8241,121.499,"The Eternals are a team of ancient aliens who have been living on Earth in secret for thousands of years. When an unexpected tragedy forces them out of the shadows, they are forced to reunite against mankind’s most ancient enemy, the Deviants.","878,28,12",False,/c6H7Z4u73ir3cIoCteuhJh7UCAR.jpg,/lFByFSLV5WDJEv3KabbdAF959F2.jpg
