id,title,original_language,release_date,vote_average,vote_count,popularity,overview,genre_ids,adult,backdrop_path,poster_path
335983,Venom,en,2018-09-28,6.835,15977,731.076,"Investigative journalist Eddie Brock attempts a comeback following a scandal, but accidentally becomes the host of Venom, a violent, super powerful alien symbiote. Soon, he must rely on his newfound powers to protect the world from a shadowy organization looking for a symbiote of their own.","878,28",False,/VuukZLgaCrho2Ar8Scl9HtV3yD.jpg,/2uNW4WbgBXL25BAbXGLnLqX71Sw.jpg
420634,Terrifier,en,2018-01-25,6.394,2448,390.004,A maniacal clown named Art terrorizes three young women on Halloween night and everyone else who stands in his way.,"27,53",False,/naNXYdBzTEb1KwOdi1RbBkM9Zv1.jpg,/sFaPj5UyIAsiRuIgVl60pCYUzmR.jpg
337167,Fifty Shades Freed,en,2018-01-17,6.701,7964,232.285,"Believing they have left behind shadowy figures from their past, newlyweds Christian and Ana fully embrace an inextricable connection and shared life of luxury. But just as she steps into her role as Mrs. Grey and he relaxes into an unfamiliar stability, new threats could jeopardize their happy ending before it even begins.","18,10749",False,/jjuDhXlAY7yHc50t8gEZWvlkoEn.jpg,/vwFR5WI1RQ1RCxS0cdTbiSgaXJr.jpg
324857,Spider-Man: Into the Spider-Verse,en,2018-12-06,8.4,15590,203.067,"Struggling to find his place in the world while juggling school and family, Brooklyn teenager Miles Morales is unexpectedly bitten by a radioactive spider and develops unfathomable powers just like the one and only Spider-Man. While wrestling with the implications of his new abilities, Miles discovers a super collider created by the madman Wilson ""Kingpin"" Fisk, causing others from across the Spider-Verse to be inadvertently transported to his dimension.","16,28,12,878",False,/qGQf2OHIkoh89K8XeKQzhxczf96.jpg,/iiZZdoQBEYBv6id8su7ImL0oCbD.jpg
299536,Avengers: Infinity War,en,2018-04-25,8.243,29703,197.272,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.","12,28,878",False,/mDfJG3LC3Dqb67AZ52x3Z0jU0uB.jpg,/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg
260513,Incredibles 2,en,2018-06-14,7.463,12805,159.705,"Elastigirl springs into action to save the day, while Mr. Incredible faces his greatest challenge yet – taking care of the problems of his three children.","28,12,16,10751",False,/mabuNsGJgRuCTuGqjFkWe1xdu19.jpg,/9lFKBtaVIhP7E2Pk0IY1CwTKTMZ.jpg
360920,The Grinch,en,2018-11-08,6.86,3892,157.431,The Grinch hatches a scheme to ruin Christmas when the residents of Whoville plan their annual holiday celebration.,"16,10751,35,14",False,/5lWIYxYEqWi8j3ZloxXntw3ImBo.jpg,/1Bc9VNd9CIHIyJtPKFqSQzrXWru.jpg
336843,Maze Runner: The Death Cure,en,2018-01-10,7.103,7740,150.975,"Thomas leads his group of escaped Gladers on their final and most dangerous mission yet. To save their friends, they must break into the legendary Last City, a WCKD-controlled labyrinth that may turn out to be the deadliest maze of all. Anyone who makes it out alive will get answers to the questions the Gladers have been asking since they first arrived in the maze.","878,28,12,53",False,/bvbyidkMaBls1LTaIWYY6UmYTaL.jpg,/2zYfzA3TBwrMC8tfFbpiTLODde0.jpg
333339,Ready Player One,en,2018-03-28,7.597,15542,145.394,"When the creator of a popular video game system dies, a virtual contest is created to compete for his fortune.","12,28,878",False,/dbrLfmFNFEJWv8rLnjpgCKlXWSy.jpg,/pU1ULUq8D3iRxl1fdX2lZIzdHuI.jpg
284054,Black Panther,en,2018-02-13,7.382,22111,106.669,"King T'Challa returns home to the reclusive, technologically advanced African nation of Wakanda to serve as his country's new leader. However, T'Challa soon finds that he is challenged for the throne by factions within his own country as well as without. Using powers reserved to Wakandan kings, T'Challa assumes the Black Panther mantle to join with ex-girlfriend Nakia, the queen-mother, his princess-kid sister, members of the Dora Milaje (the Wakandan 'special forces') and an American secret agent, to prevent Wakanda from being dragged into a world war.","28,12,878",False,/b6ZJZHUdMEFECvGiDpJjlfUWela.jpg,/uxzzxijgPIY7slzFvMotPv8wjKA.jpg
268896,Pacific Rim: Uprising,en,2018-03-21,6.1,4911,104.905,"It has been ten years since The Battle of the Breach and the oceans are still, but restless. Vindicated by the victory at the Breach, the Jaeger program has evolved into the most powerful global defense force in human history. The PPDC now calls upon the best and brightest to rise up and become the next generation of heroes when the Kaiju threat returns.","28,14,878,12",False,/mo5EJsExrQCroqPDwUwp6jeq0xS.jpg,/nFWhttU8PM50t25NPdy7PE7rv3G.jpg
447332,A Quiet Place,en,2018-04-03,7.404,14126,101.337,A family is forced to live in silence while hiding from creatures that hunt by sound.,"27,18,878",False,/roYyPiQDQKmIKUEhO912693tSja.jpg,/nAU74GmpUk7t5iklEp3bufwDq4n.jpg
556803,The Princess Switch,en,2018-11-16,7.0,2186,95.613,"When a down-to-earth Chicago baker and a soon-to-be princess discover they look like twins, they hatch a Christmastime plan to trade places.","10749,35",False,/plJy3kYRULQYvXhoWLxmKvMmXwi.jpg,/A8XgZE8CsHiYN243MEd07GLCep.jpg
383498,Deadpool 2,en,2018-05-10,7.493,17897,94.096,Wisecracking mercenary Deadpool battles the evil and powerful Cable and other bad guys to save a boy's life.,"28,35,12",False,/3P52oz9HPQWxcwHOwxtyrVV1LKi.jpg,/to0spRl1CMDvyUbOnbb4fTk3VAd.jpg
424139,Halloween,en,2018-10-18,6.554,4700,87.77,"Laurie Strode comes to her final confrontation with Michael Myers, the masked figure who has haunted her since she narrowly escaped his killing spree on Halloween night four decades ago.","27,53",False,/hO1oTBGNxO5fBKVEuWnSpICJH7c.jpg,/f7JAX5EGk4GgsEnus6OxyzwpFp7.jpg
