id,title,original_language,release_date,vote_average,vote_count,popularity,overview,genre_ids,adult,backdrop_path,poster_path
1029549,The Slumber Party,en,2023-07-27,7.0,30,10.286,"The hilarious aftermath of a sleepover birthday party hypnotism gone wrong as best friends Megan and Paige, along with soon-to-be step-sister Veronica, wake up with absolutely no memory of the night before.","35,10751",False,/otSCescAQiSAc6w1vJvl0WnogRn.jpg,/2jjOBcKJYb5FRTcsqL6yRtAY3Wr.jpg
1127959,A Missed Connection,en,2023-05-31,6.5,6,8.56,"After finding a spark with a woman on a train platform, a photographer posts a missed connection in the newspaper, but never hears from her – then, 5 years later, they’re seated next to each other on a plane heading to the same wedding – hers.","10770,35,10749",False,/1AQPOk4pWngKihoi7J9X7DGRIx2.jpg,/ArCRgr3NIfWe6NHrIHEInu4aCOF.jpg
1088157,Godless: The Eastfield Exorcism,en,2023-03-08,6.8,54,10.744,"Lara is a woman tormented, torn between science and faith. Pushed by her husband to seek treatment from a congregation of zealots, a ruthless exorcist will try to save her soul by putting an innocent woman through hell.",27,False,/qvuJpcFl1P2LPOFtcUks6G44aSQ.jpg,/nfSrMW6ooScsf3PRa0ZSjbch8ed.jpg
1052865,A Thousand Days,id,2023-04-19,6.9,23,6.352,"Sri accepts a generous job offer and tasked to perform a cleansing ritual for Dela Atmojo, an unconscious girl who is suffering from the hex of 1000-days. The terror begins when her coworker neglects to finish the ritual. Failing to perform until the 1000th day will result in their demise.","27,9648,53",False,/tDcCX1rSJZomkMKi8CfwcZUy0Tx.jpg,/bw72UY3Hi9NAjivU8Oex9ypFwLn.jpg
1094713,The Mistress,en,2023-07-28,4.8,18,6.418,"Newlyweds Parker and Madeline move into their dream home. As they settle in, they discover a box of old love letters written to the original owner. And as the couple digs into the increasingly obsessive correspondence, a mysterious woman arrives with a horrifying secret that threatens their lives.","27,53",False,/65rFnxzirxQDM0rYWmtAUYnjc.jpg,/1kdmre0wlUAUk9BvySv4Xoveieg.jpg
750167,Luise,fr,2023-07-05,3.7,3,6.338,"Summer, 1918. Two young women, Luise and Elsa live alone on a secluded farm in Alsace. As young German deserter Hermann comes along, a new relationship forms between the three, filled with love, competition and hate.","18,36,10749",False,/3vWhwhx2QJvxiclL4b3Iqby7mXs.jpg,/7jxY0Fg830fmd9XIgCyowjdIHHZ.jpg
1117061,Hugot,tl,2023-06-30,3.5,2,8.428,"A basketball player, turns to drug peddling and gambling to earn more. When he realizes his path endangers not just his life but the people he loves, it's already too late.","18,80",False,/ydI2j3kY84SbvIro7RKj3JcuxAR.jpg,/uuxhFccZJvmQy5UDzoP3Wzjn7LU.jpg
979669,Bhagavanth Kesari,te,2023-10-19,6.0,9,10.397,"Bhagavanth Kesari's life takes an unexpected turn when he becomes the guardian of Vijaya Lakshmi aka Vijji, daughter of his jailer. Kesari, with his unwavering sense of justice, embarks on a journey to nurture Vijji into a resilient young woman aspiring to join the Indian army. Intertwined in this narrative is the presence of Rahul Sanghvi, a power-hungry tycoon whose connection with Bhagavanth and Vijji, unravels hidden secrets.","28,18,53",False,/awe0rVR7Thpn2BVgLG9KMQAcRo8.jpg,/tvADrBoLJgyrxMYl8QyQW2125xv.jpg
967370,Life For Real,fr,2023-04-19,5.423,111,9.361,"Tridan Lagache has spent his whole life at Club Med, changing friends every 8 days. At 50, he resigns from the vacation spot where he was born, determined to track down his great mini-club childhood love, Violette. He shows up in Paris, naïve and lost but glad to be lodged by Louis, a half-brother he never knew he had. In order to be rid of the cumbersome Tridan, Louis passes one of his fling off as Violette, and Tridan, all emotional, thinks he recognizes her at first glance.",35,False,/y9znoRURGz8uZ0fmbINZAuZP2nJ.jpg,/r7WJ0hae0nJktDCnwYkEPkRl6dE.jpg
863858,Mending the Line,en,2023-06-09,6.4,28,6.298,A Marine wounded in Afghanistan returns to a VA hospital in Montana where he meets a Vietnam vet who teaches him fly fishing as a means to coming to terms with his physical and emotional trauma.,"18,10752",False,/yQS4QB3JDa6zIrn9b6SNAELJGwb.jpg,/BBgXPj3crSX1gidLhdw3gGVrK.jpg
1121116,"Maggie Simpson in ""Rogue Not Quite One""",en,2023-05-03,6.0,54,10.477,"On their way to daycare, Homer loses track of Maggie who hops in Grogu's hovering pram for a hyperspace-hopping adventure across the galaxy. Facing a squadron of Imperial TIE fighters, Maggie brings the battle to Springfield in this epic short celebrating all things Star Wars.","16,10751,878,35",False,/vL5zdAKAnbcHjoewXoP4xy6ihf7.jpg,/gmTOhwzcSbEGG3xKRfQwwS2BTXD.jpg
821890,Paint,en,2023-04-06,5.4,124,7.104,"Carl Nargle, Vermont’s #1 public television painter, is convinced he has it all: a signature perm, custom van, and fans hanging on his every stroke… until a younger, better artist steals everything (and everyone) Carl loves.","35,18,10749",False,/x3jQdV5GLs1HqyfhJMi8MQanyG6.jpg,/jZ1PhCyXEySYR7f9q52KYb62Bwp.jpg
