id,title,original_language,release_date,vote_average,vote_count,popularity,overview,genre_ids,adult,backdrop_path,poster_path
593568,My Killer Client,en,2018-12-01,5.7,11,8.428,"Christa Bright's an aspiring stylist who has an instant connection with new client Kat Niven, a woman who needs help gaining confidence. When Kat's admiration for Christa turns into obsession, Christa begins to get suspicious. She soon discovers that Kat's her fiancé's ex-gf and she's trying to become Christa in a ploy to win Jack back for good.","10770,53",False,/dWL4rPindE13ee83YGPZhVQbALp.jpg,/lLNWzKyf407GelLTOwI760n6KtB.jpg
699071,My Mother's Friend,ko,2018-05-17,0.0,0,8.418,"A young man is suddenly stuck with his mother's friend after a financial crisis gone bad. The woman is his first love and her beauty captivates him. She, in turn, sees him as a grown man and their love grows.",10749,False,/K05JXNFST2JeFUApWFb6rT0Zre.jpg,/1SJRSUb60FVfZxM2mhlJJkBCDp.jpg
457435,Return of the Hero,fr,2018-02-14,6.246,592,8.417,"France, 1809. Captain Neuville is called to the front, leaving his future bride heartbroken. Her sister decides to write letters on his behalf to cheer her up.","36,35",False,/uNsqjkqBvGqRX3kLGLrCwmdNseK.jpg,/5UsjIbxJWRiSAfdeC4AhlJEFtRm.jpg
550093,K: Seven Stories Movie 6 - Circle Vision - Nameless Song,ja,2018-12-01,5.2,8,8.414,,"16,28,14",False,/q48zEA8ytzon2YBubTHjZFOypBy.jpg,/lCrvNRsym0JprlkLwXinmgxD7bt.jpg
466411,Speed Kills,en,2018-11-16,5.5,126,8.405,Speedboat racing champion and multimillionaire Ben Aronoff leads a double life that lands him in trouble with the law and drug lords.,"80,18,53",False,/7RAUy9uaTsx0f2OYEueZYzNHLYc.jpg,/f4p18CwxidvznZYMA6m4qv5FCvp.jpg
554493,More Than Blue,zh,2018-11-30,5.4,29,8.403,"A terminally ill man sets up his best friend, whom he has loved since high school, so that she will not be lonely after he passes away.","10749,18",False,/6IfdkHqpvv0t2I1FMY9tI876ej.jpg,/bIaZMyV7F6cVulZZ16iEL3L1lOm.jpg
869853,My Wife's Sister 2,ko,2018-01-11,0.0,0,8.4,"The man owner is a car salesman. The sister of the fiancée just happened to buy a car, so she sold her a good car. Who knows that the sister of the fiancée is a coquettish woman. Some minor problems in the car called the male lead to repair. Even though the male lead had good stamina, he got on his sister’s bed under the stimulation of alcohol. Afterwards, the male lead regretted very much and felt sorry for his fiancee, but the elder sister got worse. For various reasons, forcing the male protagonist to be her tool for venting...","18,10749",False,/7scL8SEi4TlAgTe4cR2xxdtCNJC.jpg,/nwuPsBjDoRvaGKo7vRy7LQWWiBI.jpg
785008,Even After Everything,en,2018-08-08,3.7,3,8.39,"A wealthy mom of two children catches her husband in an affair and welcomes home his estranged brother, setting the stage for love, war and revenge.",18,False,/hrxx5xFUfxvn2YBYXdhlJogJXhu.jpg,/iOZXiEMdjjQ5fa1KqIIRfupFvwY.jpg
522619,Pup Star: World Tour,en,2018-05-05,5.9,12,8.39,"PUP STAR is back, with an all-new movie that takes the popular singing dogs on trip around the world, where Tiny and friends find fantastic new songs and meet exciting new canine singers that prove music really is the universal language.","10751,35,10402",False,/y4yU97NB5PPwI4ZuBSQoRxrrRzY.jpg,/dnZT9hXkvhPORHrkdK6RyjLlBC0.jpg
859214,Mom Lover,ko,2018-02-08,0.0,0,8.387,"Min-hee, a college student living with her designer mother, has two secrets.
 For one thing, have an older sex partner you meet regularly. Min-hee fills her father's vacancy by meeting the man. Another secret is that she keeps getting drawn to her mom's personal trainer, Cheol-min, whom she recently introduced to her mom.
 One day, when her appointment is canceled, Min-hee comes home and secretly spies on her mother and Cheol-min's sex",10749,False,/t0oHquAM3a52VfnV1nbv3YQHTK4.jpg,/eZ4mmXwOBkfgbXbClqQAj943aGj.jpg
484901,Close Enemies,fr,2018-10-03,5.9,188,8.383,"Driss and Manuel both grew up on the same council estate. An estate where the sense of belonging to your patch is much stronger than the sense of belonging to a country, a nation or a culture... Manuel has assimilated this belonging, and he has even benefited from it and built his life on it. Driss, meanwhile, has shunned it. They will both have to face up to the consequences of their decisions – because they will each have a price to pay…","18,53",False,/34RzeqR1RdWgDpX34hjuNHUyToi.jpg,/mo9qdzENQLzdqLnbqAlDP4Vou0T.jpg
499537,The Wolf House,es,2018-09-26,7.6,153,8.371,"María, a girl from Colonia Dignidad, in Chile —a kind of sectarian community, tyrannically mastered by the ruthless Paul Schäfer, a German madman, religious fanatic and child predator, who would end up turning the place into a torture center at the service of the military dictatorship ruled by Augusto Pinochet—, is punished for having lost three pigs, so she decides to run away and take refuge in an abandoned house hidden in the forest.","16,27,18",False,/u4CVC9VVpbfxxFqf8fcaPVegUmZ.jpg,/kvgch2e25cd6dWhRJ6G8BCJ1Wcq.jpg
507295,Görevimiz Tatil,tr,2018-02-23,4.9,16,8.368,,"35,10751",False,/wF3wJPLRZRkEpPntIXVnQGRw4zo.jpg,/3SMPKDOmCfB4XvS804LGGH1rsKm.jpg
510475,My Guy,fr,2018-08-29,6.6,65,8.351,"After a violent car crash, Marilyn must take care of her man, who suffers from severe head trauma.","35,18",False,/lrdpdLnyZh0n9PW0yxT6nCp7yt5.jpg,/fTEcN4BLlv7ADMeSplu4VqpCEqK.jpg
704032,A Newly Wedded Couple's Sex Life,ko,2018-07-12,9.3,7,8.348,"Jung-sik and Ji-young got married after a hot relationship, but it has cooled down. One day, Yoon-soo and Sun-young move in next door. They have been married for 5 years, but still look like they're madly in love. Ji-young talks to them about her problems and they decide to help her sex life.",10749,False,/wABBY5Vk1GjUK3MVKYqTu8fHjku.jpg,/g49JFfbpJt4X8LAgJZDOvBs8JLS.jpg
502385,The Festival,en,2018-08-14,5.9,155,8.345,"After Nick's girlfriend dumps him, his best mate Shane has the perfect antidote to his break-up blues: three days at an epic music festival.","35,10402",False,/nSLlOUplaeDz1rkohDSK8A6kXYo.jpg,/zokQMbuBst9z0dP5UKi9EkCSSnV.jpg
