id,title,original_language,release_date,vote_average,vote_count,popularity,overview,genre_ids,adult,backdrop_path,poster_path
807986,The Hummingbird,it,2022-10-14,7.0,182,6.982,"Everyone in Marco's life seems constantly restless, from his brilliant but unhappily married parents to his own wife Marina, or even Luisa, the real love of his life, a girl he met during a fateful summer in the '70s and always stayed in touch with. Tragedy and fate seem to haunt him, yet he somehow manages never to get ensnared in the chaos—like his namesake, “the hummingbird”, he focuses all his energy at standing still.",18,False,/rJOrsUssTsm6CU4Tq0VMsfP7xyA.jpg,/1lgbElaJ0oOia0C4U8QdqPrNeWR.jpg
1004685,Nuclear Now,en,2022-09-09,7.0,17,5.239,"With unprecedented access to the nuclear industry in France, Russia, and the United States, Nuclear Now explores the possibility for the global community to overcome the challenges of climate change and energy poverty to reach a brighter future through the power of nuclear energy.  Beneath our feet, Uranium atoms in the Earth’s crust hold incredibly concentrated energy. Science unlocked this energy in the mid-20th century, first for bombs and then to power submarines. The United States led the effort to generate electricity from this new source. Yet in the mid-20th century as societies began the transition to nuclear power and away from fossil fuels, a long-term PR campaign to scare the public began, funded in part by coal and oil interests.",99,False,/6eBB5Ejtn5TRWl9GYbRewo0oO4y.jpg,/vdxG11NGlnDUWoSjRRkDKXh34ee.jpg
809972,How I Fell in Love with a Gangster,pl,2022-01-05,6.681,191,10.223,"A mysterious woman recounts the rise and fall of Nikodem ""Nikoś"" Skotarczak, one of the biggest gangsters in Poland's history. Inspired by a true story.","80,28,18",False,/xJq12neztP7mfDNorwkJGSMbIB4.jpg,/e8VV1S1dcFiUBzrbwEZ26uyL40U.jpg
994052,Romance in Style,en,2022-08-13,6.6,35,11.248,Ella's unique designs inspire publishing mogul Derek to include plussized fashion in his magazine. It's not long before Derek realizes that Ella's influence reaches far beyond the catwalk.,"10770,35,10749",False,/iABnSIdB30cp4RE4k6ToiDukaNA.jpg,/gYcVRws4Hu5B36ji7BheKDnSbfP.jpg
928391,The Red Book Ritual,en,2022-09-12,5.3,57,9.437,"Three friends decide to play The Red Book game. What they don't know is that in the house evil is waiting to be released. A long time ago a witch died as part of a satanic ritual. Every question they ask, they get closer and closer to her. The book will reveal the answers to all your questions… but what if your host is an evil entity with a thirst for blood?",27,False,/eW5VFfqn6IHHpGAZQGrH8bFSfXh.jpg,/bO2KJsAnBFFYhH9hCZCq31wXvIX.jpg
945897,A Man of Action,es,2022-11-30,6.4,103,8.477,"Loosely inspired by the life of Lucio Urtubia, explore the figure of the so-called anarchist 'Robin Hood,' who ran a legendary counterfeiting operation in Paris that put him in the crosshairs of America's largest bank, when he managed to obtain a huge amount of money by forging traveler's checks to invest in causes he believed in.","18,36",False,/4tsZ4rWTUyFROVaFXMMBPQIJ940.jpg,/gL6lwQE5WrdQrMiisjma0uIonpT.jpg
962558,Leila's Brothers,fa,2022-08-24,7.723,112,10.223,"At the age of 40, Leila has spent her entire life caring for her parents and four brothers. A family that is constantly arguing and under pressure from various debts in the face of sanctions against Iran. While her brothers are struggling to make ends meet, Leila makes a plan.",18,False,/hqU7refTJZ8rqQsMpfnCsiJAy8p.jpg,/onQUSikPNXVvoT3wCLzHgiOPrHT.jpg
894246,Ride Above,fr,2022-12-21,6.8,101,7.224,"Growing up among horses at her parents' stud farm, Zoé dreams of becoming a jockey and forms a deep bond with a young horse. A terrible accident threatens to end their racing careers, but they fight to reach victory together.",18,False,/x93D07coMGtZHP7SNAQjn7Jb1Zw.jpg,/iVcQVrdtslCekI4NkWJWIFpZcF5.jpg
1019354,Letters to Santa 5,pl,2022-11-04,5.1,10,6.522,"Wojciech, who does not feel the ubiquitous joyful atmosphere, meets someone who changes his holiday plans. In turn, Karina and Szczepan get embroiled in a fight for an inheritance that may divide even their loved ones. They will see if the only thing that comes out well with the family is in the photos.","35,10749",False,/1H0is8EKd44a3JSZkE6yUDfCfwQ.jpg,/5RsDEIbg43WQ4twaXF5T7ZCaWhB.jpg
1032198,Behind the Shield: The Power and Politics of the NFL,en,2022-09-23,0.0,0,7.721,Celebrated author and Nation magazine sports editor Dave Zirin tackles the myth that the NFL was somehow free of politics before Colin Kaepernick and other Black NFL players took a knee.,99,False,,/w5yXZW9RuJTCxYgiE2RdrpWPXUr.jpg
