id,title,original_language,release_date,vote_average,vote_count,popularity,overview,genre_ids,adult,backdrop_path,poster_path,release_year,release_month,release_day
587727,Busty Girlfriend,ko,2019-03-08,7.0,11,203.553,"Mincheol and Suhee go to greet Minchul father (grandmother) before marriage. Dae - sik welcomes her daughter - in - law, Su - hee. But before marriage, Minchol and Suhee are separated by the difference in personality. Soon-hee, who was only preparing for marriage, is soon to live.",10749,False,/zQKFPx03M9RKfEcRETXR2HoUZn1.jpg,/f6PfAXtFEkJRcBtOjbzOgz8qqSK.jpg,2019,3,8
420818,The Lion King,en,2019-07-12,7.1,9961,238.962,"Simba idolizes his father, King Mufasa, and takes to heart his own royal destiny. But not everyone in the kingdom celebrates the new cub's arrival. Scar, Mufasa's brother—and former heir to the throne—has plans of his own. The battle for Pride Rock is ravaged with betrayal, tragedy and drama, ultimately resulting in Simba's exile. With help from a curious pair of newfound friends, Simba will have to figure out how to grow up and take back what is rightfully his.","12,18,10751",False,/1TUg5pO1VZ4B0Q1amk3OlXvlpXV.jpg,/dzBtMocZuJbjLOXvrl4zGYigDzh.jpg,2019,7,12
166428,How to Train Your Dragon: The Hidden World,en,2019-01-03,7.751,6353,189.085,"As Hiccup fulfills his dream of creating a peaceful dragon utopia, Toothless’ discovery of an untamed, elusive mate draws the Night Fury away. When danger mounts at home and Hiccup’s reign as village chief is tested, both dragon and rider must make impossible decisions to save their kind.","16,10751,12",False,/h3KN24PrOheHVYs9ypuOIdFBEpX.jpg,/xvx4Yhf0DVH8G4LzNISpMfFBDy2.jpg,2019,1,3
330457,Frozen II,en,2019-11-20,7.259,9683,219.285,"Elsa, Anna, Kristoff and Olaf head far into the forest to learn the truth about an ancient mystery of their kingdom.","10751,16,12,35,14",False,/ou1mmzUkFEgGp6b2ghMpW8FlHG4.jpg,/mINJaa34MtknCYl5AjtNJzWj8cD.jpg,2019,11,20
475557,Joker,en,2019-10-01,8.148,25672,150.133,"During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.","80,53,18",False,/gZWl93sf8AxavYpVT1Un6EF3oCj.jpg,/udDclJoHjfjb8Ekgsd4FDteOkCU.jpg,2019,10,1
496243,Parasite,ko,2019-05-30,8.506,18261,131.799,"All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.","35,53,18",False,/hiKmpZMGZsrkA3cdce8a7Dpos1j.jpg,/7IiTTgloJzvGI1TAYymCfbfl3vT.jpg,2019,5,30
299534,Avengers: Endgame,en,2019-04-24,8.247,25589,125.564,"After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store.","12,878,28",False,/7RyHsO4yDXtBv1zUU3mTpHeQ0d5.jpg,/or06FN3Dka5tukK1e9sl16pB3iy.jpg,2019,4,24
519465,Queen of Hearts,da,2019-03-27,6.9,280,160.604,"Anne, a brilliant and dedicated advocacy lawyer specialising in society’s most vulnerable, children and young adults, lives what appears to be the picture-perfect life with her doctor-husband, Peter, and their twin daughters. When her estranged teenage stepson, Gustav, moves in with them, Anne’s escalating desire leads her down a dangerous rabbit hole which, once exposed, unleashes a sequence of events destined to destroy her world.",18,False,/e5lxpaVyazQX723A3svR17WxckP.jpg,/lCyqTVcy9UkhhDddb98MlPszYmr.jpg,2019,3,27
915824,Secret Love: My Friend’s Mom 2,ko,2019-06-21,0.0,0,76.82,"Due to a strained relationship with his girlfriend, the male protagonist found it difficult to achieve sexual satisfaction and had to spend all day with his friend. It wasn't until he met his friend's mother that he realized that there were still such beautiful and mature women in the world. Although the male protagonist harbored evil thoughts, due to his identity and relationship, he could only bury his emotions deep in his heart. However, his friend's mother seemed to be very fond of the male protagonist and began to constantly dress herself up, And trying various temptations to lure the male lead into the bait",,False,/xuPPWhYfeuEaE3DSIOTYxRuViv2.jpg,/8RN3nZ3EgV5eBDLrvCtIBKWWvNV.jpg,2019,6,21
420809,Maleficent: Mistress of Evil,en,2019-10-16,7.306,6077,125.103,"Maleficent and her goddaughter Aurora begin to question the complex family ties that bind them as they are pulled in different directions by impending nuptials, unexpected allies, and dark new forces at play.","10751,14,12,28",False,/skvI4rYFrKXS73BJxWGH54Omlvv.jpg,/vloNTScJ3w7jwNwtNGoG8DbTThv.jpg,2019,10,16
