id,title,original_language,release_date,vote_average,vote_count,popularity,overview,genre_ids,adult,backdrop_path,poster_path,release_year,release_month,release_day
335787,Uncharted,en,2022-02-10,6.933,5929,126.714,"A young street-smart, Nathan Drake and his wisecracking partner Victor “Sully” Sullivan embark on a dangerous pursuit of “the greatest treasure never found” while also tracking clues that may lead to Nathan’s long-lost brother.","28,12",False,/fwrqW8Lp5VQuppFrODd4iJ8LySE.jpg,/rJHC1RUORuUhtfNb4Npclx0xnOf.jpg,2022,2,10
829560,The Next 365 Days,pl,2022-08-18,6.4,1101,112.844,Laura and Massimo's relationship hangs in the balance as they try to overcome trust issues while a tenacious Nacho works to push them apart.,"10749,18",False,/ut9dRwx2Bm088zVqEg6Nkd3A7kc.jpg,/6FsGeIp7heHm5eh4tIxTzHIRxmt.jpg,2022,8,18
505642,Black Panther: Wakanda Forever,en,2022-11-09,7.1,6477,108.94,"Queen Ramonda, Shuri, M’Baku, Okoye and the Dora Milaje fight to protect their nation from intervening world powers in the wake of King T’Challa’s death.  As the Wakandans strive to embrace their next chapter, the heroes must band together with the help of War Dog Nakia and Everett Ross and forge a new path for the kingdom of Wakanda.","28,12,878",False,/1GU0jS5ZG5MhfdDrpj8s9XxbgJJ.jpg,/sv1xJUazXeYqALzczSZ3O6nkH75.jpg,2022,11,9
619979,Deep Water,en,2022-03-18,5.813,1360,107.776,A well-to-do husband who allows his wife to have affairs in order to avoid a divorce becomes a prime suspect in the disappearance of her lovers.,"18,9648,53",False,/lcITbesmy0IBO6TXTAgQHJE6Asx.jpg,/6yRMyWwjuhKg6IU66uiZIGhaSc8.jpg,2022,3,18
453395,Doctor Strange in the Multiverse of Madness,en,2022-05-04,7.3,9121,102.023,"Doctor Strange, with the help of mystical allies both old and new, traverses the mind-bending and dangerous alternate realities of the Multiverse to confront a mysterious new adversary.","14,28,12",False,/gUNRlH66yNDH3NQblYMIwgZXJ2u.jpg,/9Gtg2DzBhmYamXBS1hKAhiwbBKS.jpg,2022,5,4
851644,20th Century Girl,ko,2022-10-06,8.146,687,93.705,"In 1999, a teen girl keeps close tabs on a boy in school on behalf of her deeply smitten best friend – then she gets swept up in a love story of her own.","10749,18",False,/37y53Jt8K6MvN6s4zJVFa61luO2.jpg,/od22ftNnyag0TTxcnJhlsu3aLoU.jpg,2022,10,6
646385,Scream,en,2022-01-12,6.7,3286,90.842,"Twenty-five years after a streak of brutal murders shocked the quiet town of Woodsboro, a new killer has donned the Ghostface mask and begins targeting a group of teenagers to resurrect secrets from the town’s deadly past.","27,9648,53",False,/ifUfE79O1raUwbaQRIB7XnFz5ZC.jpg,/1m3W6cpgwuIyjtg5nSnPx7yFkXW.jpg,2022,1,12
616037,Thor: Love and Thunder,en,2022-07-06,6.4,7549,98.008,"After his retirement is interrupted by Gorr the God Butcher, a galactic killer who seeks the extinction of the gods, Thor Odinson enlists the help of King Valkyrie, Korg, and ex-girlfriend Jane Foster, who now wields Mjolnir as the Mighty Thor. Together they embark upon a harrowing cosmic adventure to uncover the mystery of the God Butcher’s vengeance and stop him before it’s too late.","14,28,35",False,/jsoz1HlxczSuTx0mDl2h0lxy36l.jpg,/pIkRyD18kl4FhoCNQuWxWu5cBLM.jpg,2022,7,6
585083,Hotel Transylvania: Transformania,en,2022-01-31,7.078,2747,85.421,"When Van Helsing's mysterious invention, the ""Monsterfication Ray,"" goes haywire, Drac and his monster pals are all transformed into humans, and Johnny becomes a monster. In their new mismatched bodies, Drac and Johnny must team up and race across the globe to find a cure before it's too late, and before they drive each other crazy.","16,35,10751,12,14",False,/ep1urICLqtwwV1sTPHP9WXV4Uto.jpg,/teCy1egGQa0y8ULJvlrDHQKnxBL.jpg,2022,1,31
766507,Prey,en,2022-08-02,7.7,6642,92.391,"When danger threatens her camp, the fierce and highly skilled Comanche warrior Naru sets out to protect her people. But the prey she stalks turns out to be a highly evolved alien predator with a technically advanced arsenal.","53,28,878",False,/vgatT6hiEf4EquZ1k0uU1Ft5XdI.jpg,/h58U7d1OZyuWaCWMYvw4mfnv6H3.jpg,2022,8,2
