id,title,original_language,release_date,vote_average,vote_count,popularity,overview,genre_ids,adult,backdrop_path,poster_path,release_year,release_month,release_day
1144962,Transmorphers: Mech Beasts,en,2023-06-09,4.9,23,1180.91,"20 years after the events of Transmorphers, a newer, more advanced species of alien robot descends on a rebuilt Earth, threatening once again to destroy the planet.","28,878",False,/tCKWksaQI8XkAQLVou0AlGab5S6.jpg,/oqhaffnQqSzdLrYAQA5W4IdAoCX.jpg,2023,6,9
1024127,King of Killers,en,2023-09-01,6.523,129,429.355,"Garan is a part of a group of international hitmen who are contracted to take out the most dangerous killer in the world, only to find out that they're the ones being hunted.","28,53",False,/fe5NMpbgZiYIYNpMBKqp9sbQ2Jy.jpg,/x5AreOAgkTBzUSL58o4jsYortw2.jpg,2023,9,1
1010581,My Fault,es,2023-06-08,7.9,2966,363.957,"Noah must leave her city, boyfriend, and friends to move into William Leister's mansion, the flashy and wealthy husband of her mother Rafaela. As a proud and independent 17 year old, Noah resists living in a mansion surrounded by luxury. However, it is there where she meets Nick, her new stepbrother, and the clash of their strong personalities becomes evident from the very beginning.","10749,18",False,/lntyt4OVDbcxA1l7LtwITbrD3FI.jpg,/w46Vw536HwNnEzOa7J24YH9DPRS.jpg,2023,6,8
1073125,In Your Dreams,tr,2023-02-03,7.3,73,216.08,"You know the feeling. It feels like time slows down as your eyes meet a stranger’s. Then you walk pass each other, neither of you looking back. That’s what happened with Pelin and Engin. Lo and behold, they open their eyes in the same bed. And you may want to brace yourself for this one, as a two-year married couple! It must be a dream. No, a nightmare. But now, to wake up they must fall in love.","10749,35,18",False,/o9uMF84ZAGBqRxbliFCTgw0vQYv.jpg,/rZe2lT3G9C7JrwB7Avu22mVhqFw.jpg,2023,2,3
940551,Migration,en,2023-12-06,7.4,1738,277.646,"After a migrating duck family alights on their pond with thrilling tales of far-flung places, the Mallard family embarks on a family road trip, from New England, to New York City, to tropical Jamaica.","16,28,12,35,10751",False,/2KGxQFV9Wp1MshPBf8BuqWUgVAz.jpg,/ldfCF9RhR40mppkzmftxapaHeTo.jpg,2023,12,6
603692,John Wick: Chapter 4,en,2023-03-22,7.7,6398,244.872,"With the price on his head ever increasing, John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.","28,53,80",False,/7I6VUdPj6tQECNHdviJkUHD2u89.jpg,/vZloFAK7NmvMGKE7VkF5UHaz0I.jpg,2023,3,22
1134424,Mantra Warrior: The Legend of The Eight Moons,th,2023-10-11,6.4,29,216.271,"A story inspired by the original RAMAYANA, retold in a futuristic universe, involving brave warriors who possess ancient powers from another dimension.","16,28,12,14,878",False,/2wrdcWrAN53Pl7ahBWMIKMzXBFF.jpg,/sQE0VegwDa0GHjawfNRr1sFgVE2.jpg,2023,10,11
1147400,"Miraculous World: Paris, Tales of Shadybug and Claw Noir",fr,2023-10-21,7.202,483,222.856,"Miraculous holders from another world appear in Paris. They come from a parallel universe where everything is reversed: the holders of Ladybug and Black Cat Miraculouses, Shadybug and Claw Noir, are the bad guys, and the holder of the Butterfly Miraculous, Hesperia, is a superhero. Ladybug and Cat Noir will have to help Hesperia counter the attacks of their evil doubles and prevent them from seizing the Butterfly's Miraculous. Can our heroes also help Hesperia make Shadybug and Claw Noir better people?","16,12,28,14,10751",False,/hU1Q9YVzdYhokr8a9gLywnSUMlN.jpg,/7Md3nuV0ZprBTnkdR3OrUCEsrSP.jpg,2023,10,21
1088563,Lassie: A New Adventure,de,2023-07-27,6.4,10,231.541,"Flo and his trusted Collie pal Lassie spend the summer at Aunt Cosma's, alongside her foster children Kleo and Henry, and her dog Pippa. When local canines start disappearing, including Pippa, Lassie rallies the kids to solve the mystery.","12,10751",False,/9utq8PrMyvFBtlte2BDNaj1ktSi.jpg,/jGFcaPyEMK25fIs5BSAHrKsi2Q8.jpg,2023,7,27
667538,Transformers: Rise of the Beasts,en,2023-06-06,7.303,4518,233.817,"When a new threat capable of destroying the entire planet emerges, Optimus Prime and the Autobots must team up with a powerful faction known as the Maximals. With the fate of humanity hanging in the balance, humans Noah and Elena will do whatever it takes to help the Transformers as they engage in the ultimate battle to save Earth.","878,12,28",False,/2vFuG6bWGyQUzYS9d69E5l85nIz.jpg,/gPbM0MK8CP8A174rmUwGsADNYKD.jpg,2023,6,6
